Clinic Name,Address,State,Email,Google_Full_Address,Latitude,Longitude,Extracted_Pincode,Mapped_District,Brand_name,Clinic_Type
A4 FERTILITY CENTRE,"NO:31, GST ROAD, IRUMBULIYUR, WEST TAMBARAM",TAMIL NADU,admintamb@a4fertility.com,"31, Grand Southern Trunk Rd, West Tambaram, Irumbuliyur, Chennai, Tamil Nadu 600045",12.9197562,80.0897935,600045,Chennai,A4,Chained
A4 FERTILITY CENTRE,"NO:788, THIRUVOTTIYUR HIGH ROAD, OLD WASHERMANPET",TAMIL NADU,adminwashermanpet@a4fertility.com,"Thiruvottiyur High Rd, opposite to Sir Thiyagaraja College, Korukkupet, Old Washermanpet, Chennai, Tamil Nadu 600021",13.1167636,80.2631508,600021,Chennai,A4,Chained
A4 Fertility Centre,"87, Arcot Road, Virugambakkam, chennai",TAMIL NADU,admin@a4fertility.com,"87, Arcot Rd, AVM Avenue, Virugambakkam, Chennai, Tamil Nadu 600092",13.0466983,80.1686399,600092,Chennai,A4,Chained
A4 HOSPITALS AND FERTILITY CENTRE PRIVATE LIMITED,"PLOT NO 10,11,12, VADIVELAN NAGAR, TAMBARAM MAIN ROAD , VELACHERY",TAMIL NADU,ohvelachery@a4hospital.com,"100 feet road, 10, opposite Hotel Ambika Empire, Vadapalani, Chennai, Tamil Nadu 600026",12.9944065,79.9314249,600026,Chennai,A4,Chained
Aadhuram Hospital,"No. 316/1, Konnur High Road, Ayanavaram, Chennai",TAMIL NADU,aadhuramhospitalchennai@gmail.com,"172/1(old no. 316/1, Konnur High Rd, Vasantha nagar, Chinna Chembarambakkam, Ayanavaram, Chennai, Tamil Nadu 600023",13.0986116,80.2145972,600023,Chennai,AADHURAM,Independent
AADITYA FERTILITY & WOMEN CARE CENTRE,"AAKASH HOSPITAL ,393/1, THIRUVOTTIYUR HIGH ROAD , CHENNAI",TAMIL NADU,aadityafertility@gmail.com,"403, Thiruvottiyur High Rd, Bharathi Nagar, Tiruvottiyur Bharathi Nagar, Tiruvottiyur Chennai, Tamil Nadu 600019, 600019",13.1692982,80.2839074,600019,Chennai,AADITYA,Independent
AAKASH HOSPITAL,"NO.3, P.S. SIVASAMY SALAI , MYLAPORE",TAMIL NADU,aakashfertilitymylapore@gmail.com,"No3, PS Siva Swamy Rd, Kattukoil Garden, Mylapore, Chennai, Tamil Nadu 600004",13.0441818,80.243093,600004,Chennai,AAKASH,Independent
"ABHI""S FERTILITY CLINICS A UNIT OF ABHI S.K HOSPITAL P .Ltd",": No: 153, Sathy Main Road, Karrattadai Palayam, Post, Nallagoundenpalayam, Gobichettipalayam, Tamil Nadu 638453",TAMIL NADU,drkavi345@gmail.com,"No: 153, Sathy Main Road, Karrattadai Palayam, Post, Nallagoundenpalayam, Gobichettipalayam, Tamil Nadu 638453",11.4572273,77.3918816,638453,Erode,ABHI,Independent
Abirami maternity center,"27/33, Narsimmapuram south, Karur",TAMIL NADU,manopuri85@yahoo.com,"27, Narasimapuram, South, Kovai Main Rd, Karur, Tamil Nadu 639001",10.9560425,78.0783129,639001,Karur,ABIRAMI,Independent
ABITHA FERTILITY CLINIC,"71 ANNA SALAI, THIYAGARAJAPURAM, VELLORE",TAMIL NADU,CONTACT@ABITHAFERTILITYCLINIC.COM,"2nd Floor, 71, Anna Salai, Thiyagarajapuram Rd, Vellore, Tamil Nadu 632001",12.9033615,79.1113833,632001,Vellore,ABITHA,Independent
Accumed Speciality Clinic and Scans,"No.24,Chowdhry Nagar Main road,Opposite Vasanthi Dental Hospital, Majestic Colony, Valasaravakkam",TAMIL NADU,ashwinmuralidharan88@gmail.com,"24, Chowdry Nagar Main Rd, opp. Vasanthi Dental Hospital, Majestic Colony, Valasaravakkam, Chennai, Tamil Nadu 600087",13.0401299,80.1600225,600087,Chennai,ACCUMED,Independent
ADHITHYA INFERTILITY CENTRE,"ADHITHYA NURSING HOME,15 SENDHAMANGALAM ROAD, NAMAKKAL",TAMIL NADU,ADHITHYANURSINGHOMENAMAKKAL@GMAIL.COM,"Thangam Complex, 1/A-3, Senthamangalam Rd, Namakkal, Tamil Nadu 637001",11.2233396,78.1572331,637001,Namakkal,ADHITHYA,Independent
AK FERTILITY & WOMENS CLINIC,"Plot no 4, SHIVALAYA COMPLEX , ANNAI VELAKANNI NAGAR PHASE II, MUGALIVAKKAM, CHENNAI",TAMIL NADU,drkanikarthik@gmail.com,"Vaigai Street, Ramakrishna Nagar Extension, Mugalivakkam, Chennai, Tamil Nadu 600125",13.020713,80.1385378,600125,Chennai,AK,Independent
AKBAR ALI HOSPITAL,"106, North Street, Thirukovilur",TAMIL NADU,akbaralihospital2012@gmail.com,"Sevalai Road, near Municipality, Thirukoilure, Tamil Nadu 605757",11.9646003,79.1872078,605757,Viluppuram,AKBAR,Independent
Akshara Fertility Center and Research Institute,"Plot No: 5107, First Floor, H2, 2nd Avenue, Anna Nagar, Chennai, Tamilnadu",TAMIL NADU,aksharafertility@gmail.com,"No.5107 H2, 2nd Ave, Ranganathan Garden, Anna Nagar, Chennai, Tamil Nadu 600040",13.0856015,80.1810873,600040,Chennai,AKSHARA,Independent
AKSHARA HOSPITAL,"No.7,EASWARI NAGAR, 3rd STREET,GOWRIVAKKAM,CHENNAI",TAMIL NADU,chellambbs@gmail.com,"7, Easwari Nagar, 3rd Street, Gowriwakkam, Sembakkam, Chennai, Tamil Nadu 600073",12.9226135,80.1436229,600073,Chennai,AKSHARA,Independent
AKSHAYA FERTILITY CENTRE,"7-A,RAMAKKAPETTAI,THIRUMAGAL THEATRE ROAD,NITHEESHWAR COMPLEX,1ST FLOOR,TIRUPPATUR",TAMIL NADU,akshayafertilitytpt@gmail.com,"7A, Ramakkapettai, Tirupathur, Tamil Nadu 635601",12.4903614,78.5615149,635601,Tirupathur,AKSHAYA,Independent
AKSHAYA FERTILITY CENTRE,"SHANKAR NURSING COMPLEX,15,GANDHI ROAD, SALEM -636007",TAMIL NADU,akshayafertilitycentre@gmail.com,"Shankar Nursing Home Campus, 15, Gandhi Rd, Hasthampatti, Salem, Tamil Nadu 636007",11.67289,78.1319668,636007,Salem,AKSHAYA,Independent
ALPHA BREAST CARE,"1ST FLOOR, ARUNAGIRI ENT NURSING HOME, 24/131, ALAGAPURAM MAIN ROAD, ALAGAPURAM, SALEM",TAMIL NADU,drselvabharathy@gmail.com,"210/2, SH 188, SBI Colony, SIDCO Industrial Estate, Swarnapuri, Salem, Tamil Nadu 636016",11.668109,78.0535049,636016,Salem,ALPHA,Independent
AMMA FERTILITY  CENTRE,"AMMA HOSPITAL,FOUR ROAD,PERAMBALUR",TAMIL NADU,ammahospital1977@gmail.com,"Amma hospital 4 road junction, po, Thuraimangalam, Perambalur, Tamil Nadu 621220",11.2412948,78.8386521,621220,Perambalur,AMMA,Independent
AMMAIYAPPA HOSPITAL,32 GOWRIPURAM WEST,TAMIL NADU,ammaiyappakarur1999@gmail.com,"26, Gowripuram W St, Gowripuram, Karur, Tamil Nadu 639002",10.959045,78.0518589,639002,Karur,AMMAIYAPPA,Independent
Amrita fertility care,"Senthil Nursing home,9953/2,Thirumayam road, Pudukkottai",TAMIL NADU,suganyakannanog@gmail.com,"9953/2, OPP TO COURT, THIRUMAYAM ROAD SENTHIL NURSING HOME, Pudukkottai, Tamil Nadu 622001",10.3761846,78.7992314,622001,Pudukkottai,AMRITA,Independent
Ananya Fertility Centre,"13/1,Sannathi Street,Thiruthuraipoondi",TAMIL NADU,sarungeorge63@gmail.com,"13, 1st Floor, Sannathi St, Thruthuraipoondi, Tamil Nadu 614713",10.5326072,79.6188886,614713,Thanjavur,ANANYA,Independent
ANBHU RAM TEST TUBE BABY CENTRE,"40, SILAMBANI SANNATHI STREET, DEVAKOTTAI",TAMIL NADU,porselviperumal79@gmail.com,"No: 40, Silambani Sannathi St, Devakottai, Tamil Nadu 630302",9.948218,78.7980746,630302,Sivaganga,ANBHU,Independent
ANBU FERTILITY CENTER,"100, Railway feeder Road,  Palani",TAMIL NADU,anbufertility@gmail.com,"100, R.F.ROAD, near railway station, Anna Nagar, Palani, Tamil Nadu 624601",10.4569926,77.4986578,624601,Dindigul,ANBU,Independent
Anitha Hospital,"5279,9th Street,Ram Nagar North Extension, Puzhuthivakkam",TAMIL NADU,anithahospital@hotmail.com,"5279, 9th St, Puzhuthivakkam, Srinivasa Nagar, Ram Nagar, Madipakkam, Chennai, Tamil Nadu 600091",12.9703537,80.191406,600091,Chennai,ANITHA,Independent
